primary_label,common_name,scientific_name,species_rank,filename,dataset,duration_secs,duration_mins,duration_hrs,species_total_files,species_train_files,species_test_files,species_total_duration_hrs,species_train_duration_hrs,species_test_duration_hrs,total_files,train_files,test_files,total_duration_hrs,train_duration_hrs,test_duration_hrs,filename_npy,type,secondary_labels,rating,latitude,longitude,author,url,license,class_weight_file,class_weight_duration,class_weight_combined,orig_index
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC110335.ogg,train,119.27510204081632,1.9879183673469387,0.0331319727891156,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC110335.npy,['song'],[],4.5,58.5264,13.8637,Patrik Åberg,https://www.xeno-canto.org/110335,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13845
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC110336.ogg,train,122.044126984127,2.034068783068784,0.0339011463844797,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC110336.npy,['song'],[],5.0,59.1763,15.4038,Patrik Åberg,https://www.xeno-canto.org/110336,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13846
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC118260.ogg,train,44.38204081632653,0.7397006802721088,0.0123283446712018,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC118260.npy,"['male', 'song']",[],5.0,61.565,29.565,Steve Klasan,https://www.xeno-canto.org/118260,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13848
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC120947.ogg,train,189.2310657596372,3.153851095993953,0.0525641849332325,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC120947.npy,['song'],[],4.5,52.443,21.094,Lars Lachmann,https://www.xeno-canto.org/120947,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13849
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC125024.ogg,train,45.31201814058957,0.7552003023431595,0.0125866717057193,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC125024.npy,"['call', 'song']",[],2.5,54.577,11.9226,Louis A. Hansen,https://www.xeno-canto.org/125024,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13850
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC129509.ogg,train,108.28802721088437,1.8048004535147395,0.0300800075585789,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC129509.npy,['song'],[],5.0,52.7167,23.8334,Mathias Ritschard,https://www.xeno-canto.org/129509,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13851
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC131153.ogg,train,106.16163265306122,1.769360544217687,0.0294893424036281,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC131153.npy,"['male', 'song']",[],5.0,52.4606,20.7392,Jarek Matusiak,https://www.xeno-canto.org/131153,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13852
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC132228.ogg,train,86.4914739229025,1.4415245653817084,0.0240254094230284,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC132228.npy,"['male', 'song']",[],4.0,56.1379,47.349,Albert Lastukhin,https://www.xeno-canto.org/132228,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13853
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC132244.ogg,train,164.33632653061224,2.738938775510204,0.0456489795918367,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC132244.npy,"['male', 'song']",[],3.5,56.1396,47.3507,Albert Lastukhin,https://www.xeno-canto.org/132244,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13854
thrnig1,Thrush Nightingale,Luscinia luscinia,0,thrnig1/XC132247.ogg,train,36.31024943310658,0.6051708238851096,0.0100861803980851,499,349,150,17.078734971025447,10.7390771101033,6.339657860922147,4680,3278,1402,71.68920867976821,49.46314385235576,22.226064827412447,thrnig1/XC132247.npy,"['male', 'song']",[],4.0,56.1394,47.3497,Albert Lastukhin,https://www.xeno-canto.org/132247,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,0.937875751503006,0.4197571354165924,0.6274392710275518,13855
